time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-18T02:58:22.828Z,35.6501,79.8224,10,4.5,mb,24,121,5.758,1.35,us,us7000k9ab,2023-06-18T03:24:35.040Z,"73 km S of Kashitashi, China",earthquake,6.24,1.939,0.095,32,reviewed,us,us
2023-06-18T02:56:02.170Z,17.9863333333333,-66.8111666666667,13.87,2.51,md,10,188,0.06577,0.11,pr,pr71413833,2023-06-18T03:19:45.440Z,"1 km SE of Indios, Puerto Rico",earthquake,0.67,0.37,0.218578233495027,6,reviewed,pr,pr
2023-06-18T02:27:03.630Z,33.0328333,-116.432,8.05,1.04,ml,28,82,0.06345,0.23,ci,ci40487984,2023-06-18T02:30:52.391Z,"17km ESE of Julian, CA",earthquake,0.37,0.99,0.23,17,automatic,ci,ci
2023-06-18T02:10:01.740Z,36.8795013,-121.3046646,6.63,1.83,md,24,94,0.02329,0.09,nc,nc73902326,2023-06-18T03:57:17.341Z,"9km ENE of Hollister, CA",earthquake,0.33,0.65,0.15,14,automatic,nc,nc
2023-06-18T01:54:43.530Z,36.7736664,-121.314003,7.36,1.31,md,9,126,0.07105,0.08,nc,nc73902311,2023-06-18T03:05:18.021Z,"2km SSE of Tres Pinos, CA",earthquake,0.48,1.41,0.11,5,automatic,nc,nc
2023-06-18T01:31:07.030Z,38.793499,-122.7801666,3.36,1.47,md,27,78,0.006066,0.03,nc,nc73902306,2023-06-18T02:38:15.839Z,"3km NW of The Geysers, CA",earthquake,0.25,0.44,0.16,27,automatic,nc,nc
2023-06-18T01:27:41.490Z,19.7718,-65.682,39,3.72,md,13,287,1.5177,0.44,pr,pr2023169001,2023-06-18T02:23:07.040Z,"Puerto Rico region",earthquake,3.74,26.48,0.07,5,reviewed,pr,pr
2023-06-18T01:05:30.257Z,18.7301,-69.0751,121.795,2.9,ml,14,140,0.296,0.84,us,us7000k9a5,2023-06-18T01:45:47.040Z,"5 km SW of Santa Cruz de El Seibo, Dominican Republic",earthquake,6.34,6.546,0.081,20,reviewed,us,us
2023-06-18T00:59:55.889Z,61.5732,-149.7168,47.6,1.8,ml,,,,0.29,ak,ak0237ri6f0k,2023-06-18T01:01:54.125Z,"8 km SE of Houston, Alaska",earthquake,,0.7,,,automatic,ak,ak
2023-06-18T00:57:58.690Z,59.6275,-139.6479,7.1,2,ml,,,,0.78,ak,ak0237ri5zst,2023-06-18T01:00:20.965Z,"10 km NNE of Yakutat, Alaska",earthquake,,1.3,,,automatic,ak,ak
